Theodore Roosevelt from 14.9.1901 to 4.3.1909
William Howard Taft from 4.3.1909 to 4.03.1913
Woodrow Wilson from 4.03.1913 to 4.03.1921
Warren G. Harding from 4.03.1921 to 2.8.1923
Calvin Coolidge from 2.8.1923 to 4.03.1929
Herbert Hoover from 4.03.1929 to 4.03.1933
Franklin D. Roosevelt from 4.03.1933 to 12.4.1945
Harry S. Truman from 12.4.1945 to 20.01.1953
Dwight D. Eisenhower from 20.01.1953 to 20.01.1961
John F. Kennedy from 20.01.1961 to 22.11.1963
Lyndon B. Johnson from 22.11.1963 to 20.1.1969
Richard Nixon from 20.1.1969 to 9.8.1974
Gerald Ford from 9.8.1974 to 20.01.1977
Jimmy Carter from 20.01.1977 to 20.01.1981
Ronald Reagan from 20.01.1981 to 20.01.1989
George H. W. Bush from 20.01.1989 to 20.01.1993
Bill Clinton from 20.01.1993 to 20.01.2001
George W. Bush from 20.01.2001 to 20.01.2009
Barack Obama from 20.01.2009 to Incumbent 
